   NS=250   NC=250
 A2= 0.200 G2= 0.080 ZT= 0.275
 DEGREE OF POLYNOMIAL=  9
  ISPIN=0   SPINN=  0.1000D+01
   NB IS THE POWER TO WHICH THE SHIELDING FUNCTION IS RAISED TO
   NB=  7   TB=  0.7000D+01
   IHDPP1= 10
    0.3587524895D+03    0.7364798100-155  179
    0.3634688249D+03    0.6657581660-157  180
    0.3682336722D+03    0.5733558695-159  181
    0.3730477635D+03    0.4700750329-161  182
    0.3779118556D+03    0.3666213131-163  183
    0.3828267310D+03    0.2717922964-165  184
    0.3877931993D+03    0.1913705588-167  185
    0.3928120981D+03    0.1278701096-169  186
    0.3978842951D+03    0.8101088770-172  187
    0.4030106891D+03    0.4861935195-174  188
    0.4081922117D+03    0.2761614821-176  189
    0.4134298295D+03    0.1483156435-178  190
    0.4187245452D+03    0.7523963633-181  191
    0.4240774004D+03    0.3601567665-183  192
    0.4294894770D+03    0.1624999880-185  193
    0.4349619002D+03    0.6903114272-188  194
    0.4404958405D+03    0.2757783799-190  195
    0.4460925166D+03    0.1034835750-192  196
    0.4517531982D+03    0.3642749040-195  197
    0.4574792091D+03    0.1201325948-197  198
    0.4632719307D+03    0.3706538611-200  199
    0.4691328055D+03    0.1068385809-202  200
    0.4750633412D+03    0.2872680306-205  201
    0.4810651147D+03    0.7193889579-208  202
    0.4871397774D+03    0.1675109373-210  203
    0.4932890595D+03    0.3620569675-213  204
    0.4995147762D+03    0.7250696942-216  205
    0.5058188336D+03    0.1342849014-218  206
    0.5122032353D+03    0.2295369058-221  207
    0.5186700899D+03    0.3613630568-224  208
    0.5252216189D+03    0.5228053542-227  209
    0.5318601658D+03    0.6934702415-230  210
    0.5385882059D+03    0.8412725253-233  211
    0.5454083573D+03    0.9309675663-236  212
    0.5523233927D+03    0.9371786028-239  213
    0.5593362535D+03    0.8557135486-242  214
    0.5664500647D+03    0.7064829424-245  215
    0.5736681515D+03    0.5256595997-248  216
    0.5809940591D+03    0.3512406598-251  217
    0.5884315733D+03    0.2099741227-254  218
    0.5959847459D+03    0.1118501432-257  219
    0.6036579213D+03    0.5286151041-261  220
    0.6114557688D+03    0.2206262744-264  221
    0.6193833186D+03    0.8091261835-268  222
    0.6274460030D+03    0.2593401657-271  223
    0.6356497050D+03    0.7222319257-275  224
    0.6440008136D+03    0.1736510779-278  225
    0.6525062896D+03    0.3579862117-282  226
    0.6611737417D+03    0.6279973588-286  227
    0.6700115179D+03    0.9297116543-290  228
    0.6790288125D+03    0.1150983273-293  229
    0.6882357964D+03    0.1179589116-297  230
    0.6976437736D+03    0.9895922197-302  231
    0.7072653720D+03    0.6711169373-306  232
    0.7171147789D+03    0.0000000000D+00  233
    0.7272080346D+03    0.0000000000D+00  234
    0.7375634015D+03    0.0000000000D+00  235
    0.7482018361D+03    0.0000000000D+00  236
    0.7591476006D+03    0.0000000000D+00  237
    0.7704290689D+03    0.0000000000D+00  238
    0.7820798096D+03    0.0000000000D+00  239
    0.7941400737D+03    0.0000000000D+00  240
    0.8066588899D+03    0.0000000000D+00  241
    0.8196971088D+03    0.0000000000D+00  242
    0.8333319842D+03    0.0000000000D+00  243
    0.8476643815D+03    0.0000000000D+00  244
    0.8628307537D+03    0.0000000000D+00  245
    0.8790244939D+03    0.0000000000D+00  246
    0.8965377599D+03    0.0000000000D+00  247
    0.9158550943D+03    0.0000000000D+00  248
    0.9379112929D+03    0.0000000000D+00  249
    0.9651366483D+03    0.0000000000D+00  250
    0.5771649927D-02    0.1472670286D-01    1
    0.3041072892D-01    0.3344717881D-01    2
    0.7473934038D-01    0.5027680181D-01    3
    0.1387690730D+00    0.6430868096D-01    4
    0.2225036511D+00    0.7491844827D-01    5
    0.3259466572D+00    0.8178384421D-01    6
    0.4491022580D+00    0.8488930424D-01    7
    0.5919753411D+00    0.8449734898D-01    8
    0.7545715516D+00    0.8109269588D-01    9
    0.9368973054D+00    0.7530917945D-01   10
    0.1138959796D+01    0.6785089104D-01   11
    0.1360766995D+01    0.5941819588D-01   12
    0.1602327661D+01    0.5064693805D-01   13
