   NS=95   NC=95
 A2=  0.30 G2=  0.01 ZT=  0.15
 DEGREE OF POLYNOMIAL=  9
  ISPIN=0
   IHDPP1= 10
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
   SUBROUTINE COLUMN COMPLETE
                  FILS                                    FILC
   -0.5475106008D+01    0.0000000000D+00    0.2360004861D+01    0.0000000000D+00
   -0.4351533908D+02    0.0000000000D+00    0.1433216180D+02    0.0000000000D+00
   -0.2854473468D+02    0.0000000000D+00    0.2044670057D+02    0.0000000000D+00
   -0.2993198117D+03    0.0000000000D+00    0.7769370706D+02    0.0000000000D+00
   -0.8325296806D+02    0.0000000000D+00   -0.1245419555D+02    0.0000000000D+00
   -0.3061248085D+03    0.0000000000D+00    0.1056013559D+03    0.0000000000D+00
   -0.1351897929D+03    0.0000000000D+00    0.1610816364D+03    0.0000000000D+00
   -0.2033113263D+04    0.0000000000D+00    0.1836616955D+03    0.0000000000D+00
   -0.6253252279D+03    0.0000000000D+00   -0.3601006500D+03    0.0000000000D+00
   -0.2307837819D+04    0.0000000000D+00    0.2715458639D+03    0.0000000000D+00
   -0.7125278052D+03    0.0000000000D+00   -0.4333214167D+03    0.0000000000D+00
   -0.2265381025D+04    0.0000000000D+00    0.4460916589D+03    0.0000000000D+00
   -0.1368336517D+03    0.0000000000D+00    0.8692467522D+03    0.0000000000D+00
   -0.1239732560D+05    0.0000000000D+00   -0.5032549521D+04    0.0000000000D+00
   -0.4894563635D+04    0.0000000000D+00   -0.6217843542D+04    0.0000000000D+00
   -0.3356532279D+04    0.0000000000D+00   -0.4233399046D+04    0.0000000000D+00
   -0.1512022379D+05    0.0000000000D+00   -0.5636310380D+04    0.0000000000D+00
   -0.6011982824D+04    0.0000000000D+00   -0.7464922324D+04    0.0000000000D+00
   -0.1766363836D+05    0.0000000000D+00   -0.6289217221D+04    0.0000000000D+00
   -0.7201188751D+04    0.0000000000D+00   -0.9241531075D+04    0.0000000000D+00
   -0.1618798647D+05    0.0000000000D+00   -0.6749514067D+04    0.0000000000D+00
    0.1235393714D+05    0.0000000000D+00   -0.5740081611D+04    0.0000000000D+00
   -0.3950060886D+05    0.0000000000D+00   -0.1431593594D+06    0.0000000000D+00
   -0.3932866460D+05    0.0000000000D+00   -0.9106742410D+05    0.0000000000D+00
   -0.3162235700D+05    0.0000000000D+00   -0.5468124718D+05    0.0000000000D+00
   -0.6140415080D+05    0.0000000000D+00   -0.1640122837D+06    0.0000000000D+00
